species,country,ecomorph,svl,head.length,dewlap.size
angusticeps,bahamas,twig,35.89,10.09,22.086
angusticeps,bahamas,twig,38.12,10.87,27.748
angusticeps,bahamas,twig,38.14,10.89,54.326
angusticeps,bahamas,twig,38.63,11.58,49.074
angusticeps,bahamas,twig,39.97,11.37,59.263
angusticeps,bahamas,twig,42.72,12.72,75.405
angusticeps,bahamas,twig,42.75,12.66,89.144
angusticeps,bahamas,twig,43.03,12.52,69.876
angusticeps,bahamas,twig,43.1,12.78,83.024
angusticeps,bahamas,twig,43.29,12.43,70.231
angusticeps,bahamas,twig,43.49,13.02,96.695
angusticeps,bahamas,twig,43.55,12.89,99.649
angusticeps,bahamas,twig,43.59,13.14,76.887
angusticeps,bahamas,twig,43.73,13.28,83.93
angusticeps,bahamas,twig,43.89,13.34,97.245
angusticeps,bahamas,twig,44.13,13.45,84.795
angusticeps,bahamas,twig,44.13,13.03,88.953
angusticeps,bahamas,twig,44.19,13.6,107.163
angusticeps,bahamas,twig,44.19,12.9,105.94
angusticeps,bahamas,twig,44.25,13.04,66.008
angusticeps,bahamas,twig,44.33,13.12,106.275
angusticeps,bahamas,twig,44.43,12.96,62.179
angusticeps,bahamas,twig,44.48,12.74,125.462
angusticeps,bahamas,twig,44.55,13.7,69.045
angusticeps,bahamas,twig,44.57,12.99,79.07
angusticeps,bahamas,twig,44.66,13.44,63.495
angusticeps,bahamas,twig,44.7,13.77,90.095
angusticeps,bahamas,twig,44.8,13.88,83.023
angusticeps,bahamas,twig,44.89,13.64,65.514
angusticeps,bahamas,twig,45.08,12.52,83.684
angusticeps,bahamas,twig,45.14,13.52,111.114
angusticeps,bahamas,twig,45.14,12.98,49.305
angusticeps,bahamas,twig,45.25,13.82,55.018
angusticeps,bahamas,twig,45.47,13.57,70.907
angusticeps,bahamas,twig,45.71,13.96,70.709
angusticeps,bahamas,twig,45.82,13.92,106.025
angusticeps,bahamas,twig,45.86,13.73,83.845
angusticeps,bahamas,twig,45.93,13.58,74.926
angusticeps,bahamas,twig,46.04,13.83,80.367
angusticeps,bahamas,twig,46.04,13.85,91.933
angusticeps,bahamas,twig,46.1,13.79,71.926
angusticeps,bahamas,twig,46.17,14.49,113.25
angusticeps,bahamas,twig,46.17,14.09,63.259
angusticeps,bahamas,twig,46.29,13.74,66.178
angusticeps,bahamas,twig,46.42,13.73,80.855
angusticeps,bahamas,twig,46.53,13.84,94.459
angusticeps,bahamas,twig,46.61,14.1,91.904
angusticeps,bahamas,twig,46.73,13.99,95.155
angusticeps,bahamas,twig,47.01,13.49,87.703
angusticeps,bahamas,twig,47.04,14.46,86.956
angusticeps,bahamas,twig,47.18,14.46,97.149
angusticeps,bahamas,twig,47.8,14.13,73.102
brevirostris,domrep,trunk,35.56,9.14,51.878
brevirostris,domrep,trunk,37.32,9.92,54.295
brevirostris,domrep,trunk,38,10.38,81.669
brevirostris,domrep,trunk,38.19,9.72,51.103
brevirostris,domrep,trunk,39.31,10.73,83.308
brevirostris,domrep,trunk,39.6,10.37,64.991
brevirostris,domrep,trunk,39.98,10.13,69.678
brevirostris,domrep,trunk,42.25,11.28,103.04
brevirostris,domrep,trunk,42.39,10.79,88.571
brevirostris,domrep,trunk,42.81,10.83,113.035
brevirostris,domrep,trunk,42.9,11.19,97.292
brevirostris,domrep,trunk,43.3,11.7,130.637
brevirostris,domrep,trunk,43.3,11.27,106.504
brevirostris,domrep,trunk,43.36,10.87,75.254
brevirostris,domrep,trunk,43.4,11.05,93.556
brevirostris,domrep,trunk,43.48,11.14,136.134
brevirostris,domrep,trunk,43.81,11.58,113.923
brevirostris,domrep,trunk,44.12,11.38,97.426
brevirostris,domrep,trunk,44.2,12,109.959
brevirostris,domrep,trunk,44.2,11.88,100.704
brevirostris,domrep,trunk,44.34,11.26,126.137
brevirostris,domrep,trunk,44.34,11.84,120.901
brevirostris,domrep,trunk,44.34,11.95,129.108
brevirostris,domrep,trunk,44.42,12.29,240.013
brevirostris,domrep,trunk,44.45,11.68,128.86
brevirostris,domrep,trunk,44.48,11.76,116.82
brevirostris,domrep,trunk,44.52,11.31,86.368
brevirostris,domrep,trunk,44.59,11.68,118.724
brevirostris,domrep,trunk,44.6,12,113.973
brevirostris,domrep,trunk,44.63,11.59,104.23
brevirostris,domrep,trunk,44.68,11.9,107.865
brevirostris,domrep,trunk,44.72,11.57,96.946
brevirostris,domrep,trunk,44.74,11.73,118.438
brevirostris,domrep,trunk,44.89,11.66,95.861
brevirostris,domrep,trunk,44.9,11.94,143.722
brevirostris,domrep,trunk,44.96,12.03,99.404
brevirostris,domrep,trunk,44.96,12.08,89.772
brevirostris,domrep,trunk,45.04,11.74,132.3
brevirostris,domrep,trunk,45.07,11.95,106.65
brevirostris,domrep,trunk,45.09,12.34,105.07
brevirostris,domrep,trunk,45.1,12.48,116.285
brevirostris,domrep,trunk,45.1,11.69,102.783
brevirostris,domrep,trunk,45.24,12.33,140.668
brevirostris,domrep,trunk,45.31,11.58,105.034
brevirostris,domrep,trunk,45.36,12.41,101.718
brevirostris,domrep,trunk,45.41,12.1,87.125
brevirostris,domrep,trunk,45.49,12.07,124.912
brevirostris,domrep,trunk,45.55,11.54,88.36
brevirostris,domrep,trunk,45.7,12.31,120.174
brevirostris,domrep,trunk,45.76,11.88,150.63
brevirostris,domrep,trunk,45.87,12.44,111.211
brevirostris,domrep,trunk,45.87,11.64,118.22
brevirostris,domrep,trunk,45.91,12.34,117.46
brevirostris,domrep,trunk,45.95,11.82,108.451
brevirostris,domrep,trunk,45.98,11.96,102.934
brevirostris,domrep,trunk,46.11,12.15,139.957
brevirostris,domrep,trunk,46.24,11.76,92.515
brevirostris,domrep,trunk,46.31,12.33,132.817
brevirostris,domrep,trunk,46.39,12.63,113.638
brevirostris,domrep,trunk,46.44,12.47,107.949
brevirostris,domrep,trunk,46.47,12.45,105.802
brevirostris,domrep,trunk,46.55,12.65,118.364
brevirostris,domrep,trunk,46.89,12.75,94.127
brevirostris,domrep,trunk,46.91,12.41,95.17
brevirostris,domrep,trunk,47.01,12.69,104.346
brevirostris,domrep,trunk,47.02,12.56,90.565
brevirostris,domrep,trunk,47.12,12.31,145.001
brevirostris,domrep,trunk,47.18,11.87,102.805
brevirostris,domrep,trunk,47.23,12.42,105.578
brevirostris,domrep,trunk,47.23,12.72,112.189
brevirostris,domrep,trunk,47.26,11.88,124.424
brevirostris,domrep,trunk,47.26,12.31,155.813
brevirostris,domrep,trunk,47.27,12.73,130.091
brevirostris,domrep,trunk,47.31,12.58,111.951
brevirostris,domrep,trunk,47.35,12.24,107.419
brevirostris,domrep,trunk,47.4,12.87,125.766
brevirostris,domrep,trunk,47.4,12.61,91.682
brevirostris,domrep,trunk,47.48,13.33,118.949
brevirostris,domrep,trunk,47.51,12.41,92.502
brevirostris,domrep,trunk,47.52,12.53,127.354
brevirostris,domrep,trunk,47.57,12.9,108.837
brevirostris,domrep,trunk,47.59,12.3,131.988
brevirostris,domrep,trunk,47.66,12.61,142.338
brevirostris,domrep,trunk,47.87,13.18,102.01
brevirostris,domrep,trunk,47.97,12.27,125.781
brevirostris,domrep,trunk,48,12.71,161.761
brevirostris,domrep,trunk,48.01,12.88,121.543
brevirostris,domrep,trunk,48.08,12.74,103.834
brevirostris,domrep,trunk,48.15,12.9,128.278
brevirostris,domrep,trunk,48.33,12.33,131.09
brevirostris,domrep,trunk,48.76,13.32,125.293
brevirostris,domrep,trunk,48.79,13.75,137.713
brevirostris,domrep,trunk,48.8,12.8,111.225
brevirostris,domrep,trunk,48.84,12.97,151.289
brevirostris,domrep,trunk,48.86,12.89,152.106
brevirostris,domrep,trunk,48.92,12.64,158.874
brevirostris,domrep,trunk,48.98,13.18,117.232
brevirostris,domrep,trunk,49.01,13.45,133.599
brevirostris,domrep,trunk,49.01,12.92,89.62
brevirostris,domrep,trunk,49.06,12.88,147.637
brevirostris,domrep,trunk,49.06,12.6,104.087
brevirostris,domrep,trunk,49.09,13.05,92.847
brevirostris,domrep,trunk,49.16,13.09,50.648
brevirostris,domrep,trunk,49.28,12.74,160.92
brevirostris,domrep,trunk,49.31,13.2,110.981
brevirostris,domrep,trunk,49.42,13.07,154.359
brevirostris,domrep,trunk,49.53,13.35,246.168
brevirostris,domrep,trunk,49.65,13.28,135.224
brevirostris,domrep,trunk,49.66,12.78,113.617
brevirostris,domrep,trunk,49.86,12.72,114.272
brevirostris,domrep,trunk,50.08,13.23,240.805
brevirostris,domrep,trunk,50.4,13.31,121.525
brevirostris,domrep,trunk,50.43,12.73,140.475
brevirostris,domrep,trunk,50.99,12.94,132.511
brevirostris,domrep,trunk,50.99,13.53,181.578
brevirostris,domrep,trunk,51.72,13.21,117.673
brevirostris,domrep,trunk,52.34,13.66,149.778
brevirostris,domrep,trunk,52.36,13.83,101.821
coelestinus,domrep,trunk.crown,37.12,10.67,18.29
coelestinus,domrep,trunk.crown,44.49,12.47,42.016
coelestinus,domrep,trunk.crown,44.91,12.37,31.945
coelestinus,domrep,trunk.crown,46.42,13.28,51.74
coelestinus,domrep,trunk.crown,47.31,13.24,52.512
coelestinus,domrep,trunk.crown,49.26,13.65,74.64
coelestinus,domrep,trunk.crown,49.87,13.81,71.414
coelestinus,domrep,trunk.crown,51.9,14.83,71.327
coelestinus,domrep,trunk.crown,52.19,14.37,95.934
coelestinus,domrep,trunk.crown,52.46,14.74,65.505
coelestinus,domrep,trunk.crown,56.42,15.63,76.912
coelestinus,domrep,trunk.crown,57.62,15.91,67.734
coelestinus,domrep,trunk.crown,61.9,16.74,102.925
coelestinus,domrep,trunk.crown,62.48,17.16,105.755
coelestinus,domrep,trunk.crown,63.38,18,114.802
coelestinus,domrep,trunk.crown,65.73,18.73,173.66
coelestinus,domrep,trunk.crown,66.86,18.94,241.214
coelestinus,domrep,trunk.crown,67.57,19.53,156.16
coelestinus,domrep,trunk.crown,68.72,20.2,180.126
coelestinus,domrep,trunk.crown,68.81,19.87,210.252
coelestinus,domrep,trunk.crown,70.28,20.13,204.006
coelestinus,domrep,trunk.crown,70.96,20.51,135.451
coelestinus,domrep,trunk.crown,71.25,20.62,162.577
coelestinus,domrep,trunk.crown,71.76,20.03,191.187
coelestinus,domrep,trunk.crown,71.88,20.41,145.507
coelestinus,domrep,trunk.crown,72.53,20.92,218.558
coelestinus,domrep,trunk.crown,72.59,19.89,158.978
coelestinus,domrep,trunk.crown,73.1,20.82,181.124
coelestinus,domrep,trunk.crown,73.65,20.29,179.039
coelestinus,domrep,trunk.crown,73.65,21.07,204.931
coelestinus,domrep,trunk.crown,75.14,21.11,171.128
coelestinus,domrep,trunk.crown,75.28,21.6,199.361
coelestinus,domrep,trunk.crown,75.69,21.86,237.99
coelestinus,domrep,trunk.crown,76.52,21.74,185.952
coelestinus,domrep,trunk.crown,77.3,21.74,180.73
coelestinus,domrep,trunk.crown,77.44,21.97,189.406
coelestinus,domrep,trunk.crown,77.69,21.86,190.352
coelestinus,domrep,trunk.crown,80.12,22.72,248.163
coelestinus,domrep,trunk.crown,81.88,22.94,219.182
cybotes,domrep,trunk.ground,35.67,10.89,22.548
cybotes,domrep,trunk.ground,39.93,11.62,56.883
cybotes,domrep,trunk.ground,40.48,11.86,80.366
cybotes,domrep,trunk.ground,40.76,11.62,75.966
cybotes,domrep,trunk.ground,41.54,11.86,84.304
cybotes,domrep,trunk.ground,43.39,12.86,128.624
cybotes,domrep,trunk.ground,43.39,11.97,91.114
cybotes,domrep,trunk.ground,43.84,13.42,149.362
cybotes,domrep,trunk.ground,44.86,12.65,200.318
cybotes,domrep,trunk.ground,44.97,13.11,119.639
cybotes,domrep,trunk.ground,45.55,12.9,112.767
cybotes,domrep,trunk.ground,45.71,13.02,85.531
cybotes,domrep,trunk.ground,45.73,13.46,112.275
